gene	effect_class	count	total	total_nonneutral	prop	prop_nonneutral	prop_95CI_lo	prop_95CI_hi	prop_nonneutral_95CI_lo	prop_nonneutral_95CI_hi
ORF1ab	lethal	4162	41757	23715	0.0996719112963096	0.17550073792958043	0.09682358401107102	0.1025941955173306	0.17069114668976976	0.18041589742555766
ORF1ab	del	19229	41757	23715	0.4604976411140647	0.8108370229812355	0.4557088038036271	0.46529376404108813	0.8057810391374445	0.8157918958418224
ORF1ab	neutral	18042	41757	23715	0.43207126948775054	NA	0.42731452334193565	0.4368405442614443	NA	NA
ORF1ab	ben	324	41757	23715	0.0077591781018751345	0.01366223908918406	0.006950361328264898	0.008659841043253205	0.012241627775084423	0.015242627783174477
S	lethal	690	7797	3982	0.08849557522123894	0.17327975891511804	0.0823303569504835	0.09507019679710609	0.16171825076272908	0.18547775841867553
S	del	3054	7797	3982	0.3916891111966141	0.7669512807634354	0.38084648039267754	0.40263904677776746	0.7534386966320844	0.7799443852506445
S	neutral	3815	7797	3982	0.4892907528536617	NA	0.47813899296273316	0.5004531210451971	NA	NA
S	ben	238	7797	3982	0.030524560728485316	0.05976896032144651	0.026871112266843487	0.03464813693246859	0.05270339106206349	0.06769753811163194
ORF3a	lethal	20	1640	390	0.012195121951219513	0.05128205128205128	0.007668363462644003	0.01912955586730275	0.03242170427235636	0.0793960104210724
ORF3a	del	306	1640	390	0.18658536585365854	0.7846153846153846	0.16817849172679825	0.20648070461912776	0.7397889043499905	0.8237164779353451
ORF3a	neutral	1250	1640	390	0.7621951219512195	NA	0.7406793066238271	0.7824673977977049	NA	NA
ORF3a	ben	64	1640	390	0.03902439024390244	0.1641025641025641	0.030409105905482684	0.04986370702933772	0.12949838304489344	0.20548583233967868
E	lethal	27	448	271	0.060267857142857144	0.0996309963099631	0.04082726443812708	0.08755718827013867	0.06784497392577725	0.14317692534948753
E	del	235	448	271	0.5245535714285714	0.8671586715867159	0.47718592437950985	0.5714936870335549	0.8195255610398854	0.9040666430184425
E	neutral	177	448	271	0.3950892857142857	NA	0.349811515449847	0.442194696224766	NA	NA
E	ben	9	448	271	0.020089285714285716	0.033210332103321034	0.00983516265964561	0.0391694993714726	0.016292596092823	0.06424801038963113
M	lethal	158	1317	786	0.11996962794229309	0.2010178117048346	0.10316242442926618	0.13903500705459473	0.17388519100682887	0.23112446394726294
M	del	615	1317	786	0.46697038724373574	0.7824427480916031	0.4397834649867702	0.494352135367787	0.7515997151983193	0.8104780383011281
M	neutral	531	1317	786	0.4031890660592255	NA	0.37664036439072124	0.4303089438374674	NA	NA
M	ben	13	1317	786	0.009870918754745633	0.01653944020356234	0.005497784234715417	0.017290564510019615	0.009221138769620576	0.028884082910552788
ORF6	lethal	1	374	69	0.00267379679144385	0.014492753623188406	1.3958838280114523e-4	0.017179903335223557	7.56988544853693e-4	0.0888861915606454
ORF6	del	57	374	69	0.15240641711229946	0.8260869565217391	0.11833400793807215	0.19380356076452715	0.7119934867113622	0.9031249715418639
ORF6	neutral	305	374	69	0.8155080213903744	NA	0.7716271257294806	0.8527571278947311	NA	NA
ORF6	ben	11	374	69	0.029411764705882353	0.15942028985507245	0.015539646107736274	0.053568440155322805	0.0860159246828554	0.2716164770012316
ORF7a	del	51	715	98	0.07132867132867132	0.5204081632653061	0.054054703141774234	0.09335238260713631	0.41766439538157474	0.6215344347190009
ORF7a	neutral	617	715	98	0.862937062937063	NA	0.8350329669141908	0.8868551154635752	NA	NA
ORF7a	ben	47	715	98	0.06573426573426573	0.47959183673469385	0.04918401501693252	0.08710267698970635	0.37846556528099895	0.5823356046184253
ORF7a	lethal	0	715	98	0	0	0	0.006662074167784127	0	0.047006289069352704
ORF7b	del	23	251	32	0.09163346613545817	0.71875	0.0602127836208067	0.13603741281382942	0.5302033815177079	0.8560141716126954
ORF7b	neutral	219	251	32	0.8725099601593626	NA	0.8233362273973365	0.9099202004432834	NA	NA
ORF7b	ben	9	251	32	0.035856573705179286	0.28125	0.017598199099938094	0.06925811863709212	0.14398582838730453	0.46979661848229215
ORF7b	lethal	0	251	32	0	0	0	0.01878992081099015	0	0.13344643010288587
ORF8	del	90	712	126	0.12640449438202248	0.7142857142857143	0.10334278287589165	0.15359056023856194	0.6258232269446042	0.789442265491179
ORF8	neutral	586	712	126	0.8230337078651685	NA	0.792547671554668	0.8499662636927021	NA	NA
ORF8	ben	36	712	126	0.05056179775280899	0.2857142857142857	0.03614883195502977	0.07000604468404635	0.2105577345088209	0.3741767730553957
ORF8	lethal	0	712	126	0	0	0	0.00668999239940274	0	0.03687303861624397
N	lethal	193	2502	930	0.0771382893685052	0.2075268817204301	0.06713268630812973	0.08846510376292782	0.18218150601056815	0.23532797783995932
N	del	653	2502	930	0.2609912070343725	0.7021505376344086	0.24396315245179495	0.27876056480886274	0.671425734577678	0.7311818563775564
N	neutral	1572	2502	930	0.6282973621103117	NA	0.6089767205784651	0.6472204956027678	NA	NA
N	ben	84	2502	930	0.03357314148681055	0.09032258064516129	0.0270200051015531	0.04159659741844514	0.07305973759986172	0.1110536808740958
ORF9b	lethal	35	585	222	0.05982905982905983	0.15765765765765766	0.04260772752906197	0.08304529598229474	0.11365445477741616	0.21384552453918043
ORF9b	del	154	585	222	0.26324786324786326	0.6936936936936937	0.22837598740094997	0.30128243654994785	0.6278560837045561	0.7526997246369523
ORF9b	neutral	363	585	222	0.6205128205128205	NA	0.5796583567160319	0.6597608331840542	NA	NA
ORF9b	ben	33	585	222	0.05641025641025641	0.14864864864864866	0.0397279450607773	0.07914092678827533	0.10591625573021266	0.2038993976531411
ORF10	lethal	3	226	60	0.01327433628318584	0.05	0.0034345053115356953	0.041484517256075853	0.013002354480511503	0.14824604705836988
ORF10	del	54	226	60	0.23893805309734514	0.9	0.18599632132107227	0.300949590578253	0.7883005370245108	0.958688695476403
ORF10	neutral	166	226	60	0.7345132743362832	NA	0.6710464627675379	0.7898429888466336	NA	NA
ORF10	ben	3	226	60	0.01327433628318584	0.05	0.0034345053115356953	0.041484517256075853	0.013002354480511503	0.14824604705836988
Genome	lethal	5289	58324	30681	0.09068308072148687	0.17238681920406768	0.0883710069138387	0.09304926788361258	0.1681852799648469	0.17667070298873536
Genome	del	24521	58324	30681	0.4204272683629381	0.7992242756103126	0.416417957435973	0.42444708300356365	0.7946881844206464	0.8036851742004822
Genome	neutral	27643	58324	30681	0.4739558329332693	NA	0.4698967856897924	0.47801831796011107	NA	NA
Genome	ben	871	58324	30681	0.01493381798230574	0.028388905185619765	0.013972650147081014	0.015959434667427164	0.026572970720344608	0.03032395727943264
